Reference Number,Number of Vehicles,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
404,32R0027,2,11,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Serious,Male,25,Car
405,32R0154,2,206,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,45,Car
406,32R0154,2,206,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,41,Car
407,32R0154,2,206,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,43,Car
408,32R0154,2,206,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,42,Car
409,32R0154,2,206,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,24,Car
410,32R1322,1,1915,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Serious,Male,16,Motorcycle over 50cc and up to 125cc
411,32R1361,2,1940,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,68,Car
412,32R1361,2,1940,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,65,Car
413,32R1361,2,1940,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,42,Car
414,32R1361,2,1940,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,25,Car
415,32S0671,2,1037,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,40,Pedal cycle
416,32S0952,3,1432,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,50,Pedal cycle
417,32S1276,2,1730,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,47,Minibus (8 � 16 passenger seats)
418,32S1329,2,1810,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,58,Car
419,32S1329,2,1810,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Serious,Male,57,Car
420,32S1329,2,1810,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,11,Car
421,32S1329,2,1810,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,14,Car
422,32S1488,2,1945,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,27,Car
423,32S1488,2,1945,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,5,Car
424,32S1796,2,2348,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,17,Taxi/Private hire car
425,32T0243,3,825,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,53,Car
426,32T0646,2,1300,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,48,Car
427,32T0862,2,1445,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,16,M/cycle 50cc and under
428,32T1043,2,1630,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,31,Car
429,32T1423,2,1950,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,40,Car
430,32T1533,2,2059,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,25,Car
431,32T1533,2,2059,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,49,Car
432,3310258,1,855,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,54,Goods vehicle 7.5 tonnes mgw and over
433,3310294,2,910,Unclassified,Dry,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,21,Pedal cycle
434,3310740,2,1352,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,40,Car
435,3311182,2,1755,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,46,Pedal cycle
436,3311442,1,1951,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,75,Taxi/Private hire car
437,3320182,1,730,Unclassified,Frost / Ice,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,33,Motorcycle over 50cc and up to 125cc
438,3320201,3,737,Unclassified,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,27,Goods vehicle 3.5 tonnes mgw and under
439,3320255,1,853,A,Snow,Daylight: street lights present,Snowing without high winds,Pedestrian,Serious,Female,25,Car
440,3320317,3,932,Unclassified,Snow,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,39,Car
441,3320317,3,932,Unclassified,Snow,Daylight: street lights present,Unknown,Driver or rider,Slight,Female,38,Car
442,3320317,3,932,Unclassified,Snow,Daylight: street lights present,Unknown,Driver or rider,Slight,Female,79,Car
443,3320331,1,935,A,Snow,Daylight: street lights present,Snowing without high winds,Driver or rider,Slight,Male,19,Motorcycle over 50cc and up to 125cc
444,3320404,2,930,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Female,45,Bus or coach (17 or more passenger seats)
445,3320404,2,930,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Female,42,Bus or coach (17 or more passenger seats)
446,3320438,2,1025,Unclassified,Frost / Ice,Daylight: street lights present,Unknown,Pedestrian,Slight,Male,48,Car
447,3320582,2,1135,A,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,42,Car
448,3320615,2,615,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,56,Pedal cycle
449,3320826,2,1400,Unclassified,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Female,34,Car
450,3320906,1,1512,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,14,Car
451,3320943,3,1700,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,19,Pedal cycle
452,3321026,1,1617,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,44,Car
453,3321204,2,1737,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,14,Car
454,3330227,1,745,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,11,Car
455,3331696,2,2100,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,60,Bus or coach (17 or more passenger seats)
456,3331766,3,2224,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,21,Car
457,3340376,2,934,Unclassified,Frost / Ice,Daylight: street lights present,Snowing without high winds,Vehicle or pillion passenger,Slight,Male,2,Car
458,3340675,2,1400,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,21,Pedal cycle
459,3350692,2,1238,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,39,Car
460,3350692,2,1238,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,44,Car
461,3350717,2,1253,Motorway,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,45,Car
462,3351037,2,1610,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,74,Car
463,3351037,2,1610,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,49,Taxi/Private hire car
464,3360593,2,1115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,37,Car
465,3360593,2,1115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Serious,Female,39,Car
466,3360593,2,1115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,42,Car
467,3360593,2,1115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Serious,Male,11,Car
468,3360593,2,1115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,9,Car
469,3360593,2,1115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,2,Car
470,3360648,2,1155,Unclassified,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,35,Car
471,3360648,2,1155,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Female,11,Car
472,3361088,3,1645,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,20,Car
473,3361088,3,1645,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,47,Car
474,3361232,1,1755,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,52,Car
475,3361549,2,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,29,Pedal cycle
476,3361675,1,2302,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,37,Car
477,3370178,2,718,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,43,Pedal cycle
478,3370184,1,727,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,15,Car
479,3370235,2,740,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,24,Car
480,3370235,2,740,Motorway,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,30,Car
481,3370266,1,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,31,Pedal cycle
482,3370266,1,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,55,Pedal cycle
483,3370266,1,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,6,Pedal cycle
484,3370266,1,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,5,Pedal cycle
485,3370389,1,825,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,45,Bus or coach (17 or more passenger seats)
486,3371009,1,1555,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,9,Car
487,3371018,2,1600,A,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,61,Goods vehicle 7.5 tonnes mgw and over
488,3371081,1,1630,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,50,Car
489,3371323,2,1833,Unclassified,Dry,Darkness: street lighting unknown,Unknown,Driver or rider,Slight,Female,45,Car
490,3371397,2,1820,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,39,Car
491,3380981,2,1720,Unclassified,Dry,Darkness: street lighting unknown,Unknown,Driver or rider,Slight,Female,53,Car
492,3390203,2,801,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,36,Car
493,3390203,2,801,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,22,Car
494,3390252,2,844,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,40,Pedal cycle
495,3390679,1,1340,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Serious,Female,82,Bus or coach (17 or more passenger seats)
496,3390786,2,1500,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,60,Car
497,3390830,1,1526,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,5,Car
498,3390843,1,1440,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,57,Car
499,33A0255,2,715,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Serious,Female,24,Bus or coach (17 or more passenger seats)
500,33A1079,2,1630,Unclassified,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,74,Car
501,33A1209,2,1730,Motorway,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,18,Car
502,33A1209,2,1730,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,23,Car
503,33A1810,2,2324,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,49,Car
504,33B1196,2,1215,A,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,33,Motorcycle over 500cc
505,33B1352,2,1807,A,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Serious,Female,23,Car
506,33B1352,2,1807,A,Dry,Darkness: no street lighting,Fine without high winds,Vehicle or pillion passenger,Slight,Male,47,Car
507,33B1352,2,1807,A,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,50,Car
508,33C0922,1,1453,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,45,Car
509,33C1424,4,1904,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,28,Motorcycle over 500cc
510,33C1952,1,2320,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,35,Taxi/Private hire car
511,33D0462,1,900,Unclassified,Dry,Daylight: street lights present,Unknown,Pedestrian,Slight,Female,31,Car
512,33D0994,1,1420,A,Dry,Daylight: street lights present,Unknown,Pedestrian,Slight,Male,67,Car
513,33D1154,2,1620,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,71,Car
514,33D1710,1,2140,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,22,Goods vehicle 3.5 tonnes mgw and under
515,33E1272,2,1720,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,46,Pedal cycle
516,33F0485,1,1030,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,53,Bus or coach (17 or more passenger seats)
517,33F0880,3,1448,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,41,Goods vehicle 3.5 tonnes mgw and under
518,33F1157,2,1712,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,30,Motorcycle over 50cc and up to 125cc
519,33F1251,2,1755,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,70,Car
520,33G0274,1,850,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,7,Car
521,33G0432,2,1040,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,33,Car
522,33G0432,2,1040,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,54,Car
523,33G0992,2,1604,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,47,Motorcycle over 500cc
524,33H0332,3,920,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,62,Car
525,33H0332,3,920,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,53,Car
526,33H0345,2,1500,Unclassified,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,12,Pedal cycle
527,33H0479,2,1630,Unclassified,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,30,Pedal cycle
528,33H1024,2,1600,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,36,Pedal cycle
529,33I0926,2,1515,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,51,Car
530,33I0967,2,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,24,Taxi/Private hire car
531,33I1052,2,1615,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,22,Motorcycle over 50cc and up to 125cc
532,33I1529,2,2025,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,37,Car
533,33J0282,2,440,A(M),Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Female,22,Car
534,33J0282,2,440,A(M),Dry,Darkness: no street lighting,Fine without high winds,Vehicle or pillion passenger,Serious,Female,20,Car
535,33J0779,2,1202,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,34,Car
536,33J0779,2,1202,Motorway,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,65,Car
537,33J0896,2,1416,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,63,Car
538,33K0386,2,810,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,45,Pedal cycle
539,33K0810,2,1200,A,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Female,28,Taxi/Private hire car
540,33K0914,1,1430,Motorway,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,18,Car
541,33K0934,2,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,19,Car
542,33K0934,2,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,79,Car
543,33K0934,2,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,79,Car
544,33K1104,3,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,31,Car
545,33K1104,3,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,5,Car
546,33K1104,3,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,43,Car
547,33K1104,3,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,7,Car
548,33K1104,3,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,8,Car
549,33K1466,2,1929,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,18,Car
550,33L0014,2,40,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,45,Car
551,33L0442,1,1010,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,57,Bus or coach (17 or more passenger seats)
552,33M0196,2,720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,39,Car
553,33M1252,2,1800,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,18,Car
554,33M1474,1,2005,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,22,Car
555,33N0519,3,1207,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,37,Car
556,33N0965,1,1710,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,43,Motorcycle over 500cc
557,33N1424,2,1424,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,51,Bus or coach (17 or more passenger seats)
558,33N1424,2,1424,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,55,Bus or coach (17 or more passenger seats)
559,33O1560,2,2045,Unclassified,Dry,Darkness: street lighting unknown,Unknown,Driver or rider,Slight,Male,15,Pedal cycle
560,33P0429,4,1000,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,47,Car
561,33P0429,4,1000,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,37,Car
562,33P0429,4,1000,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,13,Car
563,33P0429,4,1000,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,7,Car
564,33P0657,4,1220,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,27,Car
565,33P0657,4,1220,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,23,Car
566,33P0657,4,1220,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,64,Car
567,33P0657,4,1220,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,34,Car
568,33P0920,2,1410,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,25,Car
569,33P1048,1,1555,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,67,Motorcycle over 500cc
570,33P1342,2,1800,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,28,Car
571,33Q0648,1,1055,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,46,Car
572,33Q1029,1,1029,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,30,Car
573,33Q1071,2,1151,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,29,Car
574,33Q1107,1,1340,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,20,Car
575,33Q1208,1,1724,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Female,55,Car
576,33R0453,2,1019,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,25,Car
577,33R0504,2,1106,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,34,Car
578,33R0873,1,1608,B,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Female,11,Car
579,33R0913,3,1710,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Vehicle or pillion passenger,Slight,Female,19,Car
580,33R1046,1,1800,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,21,Car
581,33R1689,1,2349,Unclassified,Dry,Darkness: street lighting unknown,Unknown,Pedestrian,Slight,Male,58,Car
582,33R1689,1,2349,Unclassified,Dry,Darkness: street lighting unknown,Unknown,Pedestrian,Slight,Female,28,Car
583,33S0525,2,1124,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,68,Car
584,33S0525,2,1124,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,28,Car
585,33S0584,2,1204,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,21,Motorcycle over 50cc and up to 125cc
586,33S0639,2,1100,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,55,Car
587,33S0639,2,1100,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,18,Car
588,33T0242,2,740,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,46,Car
589,33T0242,2,740,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,43,Car
590,33T0645,2,1247,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,6,Car
591,33T1050,2,1630,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,25,Car
592,33T1515,2,2045,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Female,3,Car
593,33T1529,2,1730,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,24,Car
594,33T1751,1,1751,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,30,Car
595,33U0243,3,818,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,25,Car
596,33U0291,2,1604,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,44,Car
597,33U0531,2,1213,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,35,Car
598,33U0563,2,1210,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,17,Car
599,33U0563,2,1210,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,35,Car
600,33U0574,1,1210,Unclassified,Dry,Daylight: street lights present,Unknown,Pedestrian,Slight,Male,32,Bus or coach (17 or more passenger seats)
601,33U0825,1,2054,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,67,Bus or coach (17 or more passenger seats)
602,33U0931,1,1620,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,50,Car
603,33U0964,2,1635,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,19,Pedal cycle
604,33U1075,2,1700,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,28,Taxi/Private hire car
605,33U1075,2,1700,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,29,Taxi/Private hire car
606,33U1123,2,1757,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,22,Car
607,33U1271,2,1913,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,33,Car
608,33U1748,1,2345,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Vehicle or pillion passenger,Slight,Male,19,Car
609,33V0210,2,614,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,59,Motorcycle over 125cc and up to 500cc
610,33V0429,2,1045,B,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,45,Car
611,33V0846,2,1845,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Female,25,Car
612,33V0846,2,1845,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Male,17,Car
613,33V1001,2,1615,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,5,Car
614,33V1161,2,1704,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,47,Car
615,33V1357,1,1845,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,57,Car
616,33V1367,1,1848,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,8,Car
617,33V1409,2,1906,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,44,Car
618,33V1546,1,2016,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,17,Motorcycle over 500cc
619,33V1759,1,2155,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,18,Car
620,3410726,2,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,32,Motorcycle over 50cc and up to 125cc
621,3411318,1,1852,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,31,Car
622,3420318,1,630,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Female,30,Car
623,3420607,2,1210,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,59,Car
624,3420607,2,1210,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,28,Car
