Reference Number,Number of Vehicles,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
47,3171722,1,2345,Unclassified,Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver or rider,Slight,Male,26,Car
48,3180831,1,1435,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Fatal,Male,78,Goods vehicle 7.5 tonnes mgw and over
49,3181079,2,1706,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,56,Motorcycle over 125cc and up to 500cc
50,3181260,1,1835,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,11,Car
51,3181333,2,1936,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,18,Car
52,3181333,2,1936,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,26,Car
53,3181333,2,1936,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,42,Car
54,3190305,2,505,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fog or mist � if hazard,Driver or rider,Serious,Male,45,Pedal cycle
55,3190541,2,1144,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,25,Motorcycle over 50cc and up to 125cc
56,3190903,3,1512,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,54,Car
57,3190903,3,1512,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,55,Car
58,3190903,3,1512,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,31,Car
59,3191196,4,1230,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,40,Car
60,3191196,4,1230,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,15,Car
61,3191196,4,1230,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,30,Car
62,3191206,2,1810,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,23,Car
63,3191206,2,1810,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,29,Car
64,3191223,1,1755,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Serious,Female,60,Car
65,3191315,1,1930,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,47,Car
66,3191376,1,2013,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,63,Car
67,31A0692,4,1330,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver or rider,Slight,Female,29,Car
68,31A0692,4,1330,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Vehicle or pillion passenger,Slight,Male,6,Car
69,31A0736,2,1400,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,80,Car
70,31B0226,2,814,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,57,Motorcycle over 500cc
71,31B0246,2,740,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,36,Pedal cycle
72,31B0266,1,853,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,49,Taxi/Private hire car
73,31B0488,2,1140,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Female,80,Car
74,31B1060,4,1736,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,60,Car
75,31B1310,2,2005,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,29,Motorcycle over 50cc and up to 125cc
76,31C0236,2,905,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,45,Pedal cycle
77,31C0900,2,1618,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,50,Car
78,31D0289,1,2155,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,47,Car
79,31D0487,2,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,54,Car
80,31D0503,2,800,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,51,Pedal cycle
81,31D0885,1,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
82,31D1135,3,1720,Motorway,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,40,Car
83,31D1135,3,1720,Motorway,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,22,Car
84,31D1322,2,1850,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Serious,Male,20,Car
85,31D1322,2,1850,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Male,20,Car
86,31D1322,2,1850,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,33,Car
87,31E0257,3,844,Unclassified,Frost / Ice,Daylight: street lights present,Snowing with high winds,Driver or rider,Slight,Male,30,Car
88,31E0257,3,844,Unclassified,Frost / Ice,Daylight: street lights present,Snowing with high winds,Driver or rider,Slight,Female,35,Car
89,31E0436,1,1705,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,30,Car
90,31E0606,1,1245,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,20,Car
91,31E0658,2,1334,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,62,Car
92,31E0963,1,1623,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,36,Car
93,31E0981,2,1645,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,68,Car
94,31E1090,2,1545,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,23,Pedal cycle
95,31E1099,2,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,27,Car
96,31E1099,2,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,21,Car
97,31F0333,2,1215,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,52,Pedal cycle
98,31F0855,1,1442,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,57,Pedal cycle
99,31F0855,1,1442,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,26,Pedal cycle
